MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:fe8365de-f785-ea11-aa77-501ac539d1ea,,accepted,order,Pelecaniformes,,dan,Ã…refodede,false
MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Ardeidae,,dan,Hejrer,false
MSTSNM:Arter:a15367e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Fregatidae,,dan,Fregatfugle,false
MSTSNM:Arter:025767e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Pelecanidae,,dan,Pelikaner,false
MSTSNM:Arter:2a5767e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Phalacrocoracidae,,dan,Skarver,false
MSTSNM:Arter:5c5967e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Sulidae,,dan,Suler,false
MSTSNM:Arter:af5967e4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:3e4e67e4-f785-ea11-aa77-501ac539d1ea,,accepted,family,Threskiornithidae,,dan,Ibiser & skestorke,false
MSTSNM:Arter:7f9ef9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Ardea,,,,
MSTSNM:Arter:819ef9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Ardeola,,,,
MSTSNM:Arter:dca0f9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Botaurus,,,,
MSTSNM:Arter:74a1f9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Bubulcus,,,,
MSTSNM:Arter:25aaf9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Egretta,,,,
MSTSNM:Arter:eeb1f9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Ixobrychus,,,,
MSTSNM:Arter:fab9f9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:495067e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Nycticorax,,,,
MSTSNM:Arter:0aadf9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:a15367e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Fregata,,,,
MSTSNM:Arter:0bbdf9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:025767e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Pelecanus,,,,
MSTSNM:Arter:701cda16-1f30-4973-b36b-af7e00fd7609,MSTSNM:Arter:2a5767e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Gulosus,"Montagu, 1813",,,
MSTSNM:Arter:cb487af6-7074-427a-a7cb-b20900a28376,MSTSNM:Arter:2a5767e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Microcarbo,"Bonaparte, 1856",,,
MSTSNM:Arter:c5bdf9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:2a5767e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Phalacrocorax,,,,
MSTSNM:Arter:cb50a8dd-d411-4bc3-869b-ac2800d7e676,MSTSNM:Arter:5c5967e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Morus,Vieillot,,,
MSTSNM:Arter:dfcd4cd2-9f34-4122-a30e-adf600a544fb,MSTSNM:Arter:5c5967e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Sula,"Brisson, 1760",,,
MSTSNM:Arter:ef2c03c2-1064-461b-9b3e-b0b500cd20d7,MSTSNM:Arter:af5967e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Geronticus,"Wagler, 1832",,,
MSTSNM:Arter:33bff9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:af5967e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Platalea,,,,
MSTSNM:Arter:7dbff9f3-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:af5967e4-f785-ea11-aa77-501ac539d1ea,,accepted,genus,Plegadis,,,,
MSTSNM:Arter:c18811f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:7f9ef9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Ardea alba,"Linnaeus, 1758",dan,SÃ¸lvhejre,false
MSTSNM:Arter:c28811f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:7f9ef9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Ardea cinerea,"Linnaeus, 1758",dan,Fiskehejre,false
MSTSNM:Arter:f69111f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:7f9ef9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Ardea ibis,"Linnaeus, 1758",dan,Kohejre,false
MSTSNM:Arter:c38811f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:7f9ef9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Ardea purpurea,"Linnaeus, 1766",dan,Purpurhejre,false
MSTSNM:Arter:c68811f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:819ef9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Ardeola ralloides,"(Scopoli, 1769)",dan,Tophejre,false
MSTSNM:Arter:2c9011f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:dca0f9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Botaurus lentiginosus,"(Rackett, 1813)",dan,Amerikansk rÃ¸rdrum,false
MSTSNM:Arter:f54eddf8-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:dca0f9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Botaurus minutus,"(Linnaeus, 1766)",dan,DvÃ¦rghejre,false
MSTSNM:Arter:2d9011f4-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:dca0f9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Botaurus stellaris,"(Linnaeus, 1758)",dan,RÃ¸rdrum,false
MSTSNM:Arter:ca4d8cf8-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:25aaf9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Egretta garzetta,"(Linnaeus, 1766)",dan,Silkehejre,false
MSTSNM:Arter:2d66ddf8-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:fab9f9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Nycticorax nycticorax,"(Linnaeus, 1758)",dan,Nathejre,false
MSTSNM:Arter:7b578cf8-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:0aadf9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Fregata magnificens,"Mathews, 1914",dan,Pragtfregatfugl,false
MSTSNM:Arter:ee6dddf8-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:0bbdf9f3-f785-ea11-aa77-501ac539d1ea,,accepted,species,Pelecanus crispus,"Bruch, 1832",dan,KrÃ¸ltoppet pelikan,false
MSTSNM:Arter:c4f52bf9-f785-ea11-aa77-501ac539d1ea,MSTSNM:Arter:701cda16-1f30-4973-b36b-af7e00fd7609,,accepted,species,Gulosus aristotelis,"(Linnaeus, 1761)",dan,Topskarv,false
MSTSNM:Arter:b17392a6-9d0e-486b-91ed-b18b00d742e2,MSTSNM:Arter:cb487af6-7074-427a-a7cb-b20900a28376,,accepted,species,Microcarbo pygmaeus,"(Pallas, 1773)",dan,DvÃ¦rgskarv,false
